Team,Player,ROS,Playing time %,Role,IP_GS
LAD,Daniel Hudson,37 IP,RP 6% SV 25%,Closer,0
LAD,Caleb Ferguson,56 IP,RP 9% SV 5%,Middle,0
LAD,Yency Almonte,56 IP,RP 9% SV 5%,Middle,0
LAD,Phil Bickford,50 IP,RP 8%,Middle,0
LAD,Victor Gonzalez,43 IP,RP 7%,Middle,0
LAD,Shelby Miller,31 IP,RP 5%,Middle,0
LAD,J.P. Feyereisen,25 IP,RP 4%,Middle,0
LAD,Alex Reyes,19 IP,RP 3%,Middle,0
LAD,Jake Reed,12 IP,RP 2%,Middle,0
LAD,Nick Robertson,12 IP,RP 2%,Middle,0
LAD,Jimmy Nelson,12 IP,RP 2%,Middle,0
MIA,Sandy Alcantara,204 IP,GS 18%,Starter 1,7
MIA,Johnny Cueto,168 IP,GS 17%,Starter 2,6.1
MIA,Trevor Rogers,114 IP,GS 15%,Starter 3,4.7
MIA,Jesus Luzardo,129 IP,GS 15%,Starter 4,5.3
MIA,Edward Cabrera,122 IP,GS 15%,Starter 5,5
MIA,Braxton Garrett,87 IP,GS 7% RP 5%,"Starter, Long",5.2
MIA,Max Meyer,32 IP,GS 5%,Starter,4
MIA,Eury Pérez,22 IP,GS 3%,Starter,4.5
MIA,Sixto Sanchez,42 IP,GS 3% RP 4%,"Starter, Long",4
MIA,Bryan Hoeing,30 IP,GS 2% RP 3%,"Starter, Long",4
MIA,Dylan Floro,50 IP,RP 9% SV 70%,Closer,0
MIA,A.J. Puk,50 IP,RP 9% SV 15%,Setup,0
MIA,Tanner Scott,45 IP,RP 8% SV 15%,Setup,0
MIA,Nic Enright,17 IP,RP 3%,Mop Up,0
MIA,Steven Okert,50 IP,RP 9%,Middle,0
MIA,Tommy Nance,50 IP,RP 9%,Middle,0
MIA,Matt Barnes,50 IP,RP 9%,Middle,0
MIA,JT Chargois,45 IP,RP 8%,Middle,0
MIA,Huascar Brazoban,39 IP,RP 7%,Middle,0
MIA,Andrew Nardi,28 IP,RP 5%,Middle,0
MIA,George Soriano,22 IP,RP 4%,Middle,0
MIA,Eli Villalobos,17 IP,RP 3%,Middle,0
MIA,Josh Simpson,17 IP,RP 3%,Middle,0
MIA,Daniel Castano,11 IP,RP 2%,Middle,0
MIL,Corbin Burnes,175 IP,GS 18%,Starter 1,6
