Team,Batters,ROS,Playing time %
HOU,Jose Altuve,385 PA,2B 50% 350 PA DH 5% 35 PA
HOU,David Hensley,455 PA,2B 35% 245 PA 3B 10% 70 PA SS 10% 70 PA 1B 5% 35 PA DH 5% 35 PA
HOU,Jeremy Pena,595 PA,SS 85% 595 PA
HOU,Jake Meyers,245 PA,CF 35% 245 PA
HOU,Chas McCormick,315 PA,CF 30% 210 PA RF 10% 70 PA LF 5% 35 PA
HOU,Mauricio Dubon,350 PA,CF 20% 140 PA 2B 15% 105 PA LF 10% 70 PA SS 5% 35 PA
HOU,Pedro Leon,175 PA,CF 15% 105 PA RF 10% 70 PA
HOU,Michael Brantley,490 PA,LF 40% 280 PA DH 30% 210 PA
HOU,Bligh Madris,35 PA,LF 5% 35 PA
HOU,Alex Bregman,595 PA,3B 85% 595 PA
HOU,Joe Perez,35 PA,3B 5% 35 PA
HOU,Kyle Tucker,595 PA,RF 80% 560 PA DH 5% 35 PA
HOU,Jose Abreu,595 PA,1B 80% 560 PA DH 5% 35 PA
HOU,J.J. Matijevic,105 PA,1B 10% 70 PA DH 5% 35 PA
HOU,Yordan Alvarez,595 PA,DH 45% 315 PA LF 40% 280 PA
